Texto,Fecha,Nombre Usuario,Fuente,Concepto asociado,Género,Grupo Étareo,Escolaridad
"Son movidas, gana massa baja el dólar para que su campaña sea excelente",10-10-2023,franquiito.02,https://www.threads.net/@liberalesargentinaok/post/CyMS-ONuuaU,N/E,N/E,N/E,N/E
100% dee acuerdo,09-10-2023,fernando_taboas,https://www.threads.net/@liberalesargentinaok/post/CyMS-ONuuaU,N/E,N/E,N/E,N/E
"Es totalmente lógico lo que dicen...pero a cuánto estaría si estuviesen los liberales o jxc??? A menos, seguro??? O lo hubiesen liberado y hoy estría a 3000?",10-10-2023,claudiogabrielvillafanie,https://www.threads.net/@liberalesargentinaok/post/CyMS-ONuuaU,N/E,N/E,N/E,N/E
"Lo mal que está Argentina en lo económico y social, es la herencia dejada por el gobierno corrupto de Mauricio Macri, difícil fue para el gobierno de Alberto Fernández, revertir en tan poco tiempo el desastre planificado por la derecha política y Empresarial Argentina.
Es de esperar que el Gobierno del Presidente Massa, pueda tomar las medidas económicas necesarias,  para corregir esta pesada situación que afecta al pueblo Argentino.",10-10-2023,jg.cuevasc020653,https://www.threads.net/@liberalesargentinaok/post/CyMS-ONuuaU,N/E,N/E,N/E,N/E
ah pero macri,10-10-2023,_scared_5,https://www.threads.net/@liberalesargentinaok/post/CyMS-ONuuaU,N/E,N/E,N/E,N/E
"1050, antes de que gane Alberto yo me agarraba de los pelos, era obvio lo que iba a pasar pero los K tiraron de la soga y ya se está por romperrr",10-10-2023,martin_zingoni,https://www.threads.net/@liberalesargentinaok/post/CyMS-ONuuaU,N/E,N/E,N/E,N/E
Vergüenza es votar a milei....,10-10-2023,hora.vizueta,https://www.threads.net/@liberalesargentinaok/post/CyMS-ONuuaU,N/E,N/E,N/E,N/E
#MassaPresidente,09-10-2023,drgustavovaldez,https://www.threads.net/@liberalesargentinaok/post/CyMS-ONuuaU,N/E,N/E,N/E,N/E
Un desastre,10-10-2023,silvina.harris,https://www.threads.net/@liberalesargentinaok/post/CyMS-ONuuaU,N/E,N/E,N/E,N/E
Jajaja Jajaja,10-10-2023,daro.gonzalez,https://www.threads.net/@liberalesargentinaok/post/CyMS-ONuuaU,N/E,N/E,N/E,N/E
Ustedes dan vergüenza,10-10-2023,zarpadomal1959,https://www.threads.net/@liberalesargentinaok/post/CyMS-ONuuaU,N/E,N/E,N/E,N/E
"Si quieren terminar con el Kirchnerismo, Juntos por el Cambio debe apoyar a Javier Milei y el 19 de Noviembre terminan arrasando. Es simple. No jodan.",23-10-2023,lanatappt,https://www.threads.net/@lanatappt/post/CyvjalRg-vx,N/E,N/E,N/E,N/E
La anti ética dixit...🤦‍♀️,26-10-2023,veronicacepedaph,https://www.threads.net/@lanatappt/post/CyvjalRg-vx,N/E,N/E,N/E,N/E
"Te acordás cuándo estabas al frente de revista veintitrés? Te cabía Chávez, fidel y le dabas chirlos a Macri mientras fumabas en la ducha?",24-10-2023,leover.ok,https://www.threads.net/@lanatappt/post/CyvjalRg-vx,N/E,N/E,N/E,N/E
No hay otra posibilidad sino Ezeiza,25-10-2023,mariasusana_sartori,https://www.threads.net/@lanatappt/post/CyvjalRg-vx,N/E,N/E,N/E,N/E
"Que Antipatria y Facho que sos Lanata, remítete a decir tu opinión ,No a decirle a la gente lo que tiene que hacer.",24-10-2023,kristellrosario,https://www.threads.net/@lanatappt/post/CyvjalRg-vx,N/E,N/E,N/E,N/E
Mediquese,24-10-2023,_g_a_b_r_i_e_a,https://www.threads.net/@lanatappt/post/CyvjalRg-vx,N/E,N/E,N/E,N/E
Coherencia y dignidad nunca no?,25-10-2023,ivanburaok,https://www.threads.net/@lanatappt/post/CyvjalRg-vx,N/E,N/E,N/E,N/E
NOAMILEI,24-10-2023,florviterbo,https://www.threads.net/@lanatappt/post/CyvjalRg-vx,N/E,N/E,N/E,N/E
